CompetitionID,MatchID,MatchType,MatchDate,MatchDateNew,MatchName,MatchTime,Day/Night,GMTMatchTime,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,FirstBattingSummary,SecondBattingSummary,MATCH_COMMENCE_START_DATE,city,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,RowNo,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,CurrentInnings,1Summary,2Summary,WinningTeamID,MatchType2,MatchOrder,RevisedOver,RevisedTarget,MatchRow,Season,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,MATCH_NO_OF_OVERS,CompetitionName,MOM,MOM_TYPE,MOMPlayerId,MOMRuns,MOMBalls,MOMWicket,MOMRC,MOMImage,KO
60,531,T20 (N),29-05-2022,29-May-22,Gujarat Titans VS Rajasthan Royals,20:00,Night,14:30 GMT,18,Rajasthan Royals,35,Gujarat Titans,RR,GT,55,Narendra Modi Stadium,Gujarat Titans Won by 7  Wickets (Winners),Rajasthan Royals,Rajasthan Royals won the Toss and elected to bat, won the Toss and elected to bat,130/9 (20.0 Ov),133/3 (18.1 Ov),2022-05-29T20:00:00,Ahmedabad,42,29,159,86,35,Gujarat Titans,18,Rajasthan Royals,Asia/Kolkata,29-May-22,23:30,74,Nitin Menon,Chris Gaffaney,KN Ananthapadmanabhan,Gujarat Titans Won by 7  Wickets (Winners),https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,2.0,130/9 (20.0 Overs),133/3 (18.1 Overs),35.0,Final,Final,,,74,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,530,T20 (N),27-05-2022,27-May-22,Rajasthan Royals VS Royal Challengers Bangalore,19:30,Night,14:00 GMT,19,Royal Challengers Bangalore,18,Rajasthan Royals,RCB,RR,55,Narendra Modi Stadium,Rajasthan Royals Won by 7 Wickets (Qualified),Rajasthan Royals,Rajasthan Royals won the Toss and elected to Field, won the Toss and elected to Field,157/8 (20.0 Ov),161/3 (18.1 Ov),2022-05-27T19:30:00,Ahmedabad,29,42,44,86,18,Rajasthan Royals,19,Royal Challengers Bangalore,Asia/Kolkata,27-May-22,23:30,73,Chris Gaffaney,Nitin Menon,Anil Chaudhary,Rajasthan Royals Won by 7 Wickets (Qualified),https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,2.0,157/8 (20.0 Overs),161/3 (18.1 Overs),18.0,Qualifier 2,Qualifier 2,,,73,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,529,T20 (N),25-05-2022,25-May-22,Lucknow Super Giants VS Royal Challengers Bangalore,19:30,Night,14:00 GMT,19,Royal Challengers Bangalore,77,Lucknow Super Giants,RCB,LSG,19,Eden Gardens,Royal Challengers Bangalore Won by 14 Runs (Qualified),Lucknow Super Giants,Lucknow Super Giants won the Toss and elected to Field, won the Toss and elected to Field,207/4 (20.0 Ov),193/6 (20.0 Ov),2022-05-25T19:30:00,Kolkata,34,221,352,88,77,Lucknow Super Giants,19,Royal Challengers Bangalore,Asia/Kolkata,25-May-22,23:30,72,Michael Gough,Madanagopal Jayaraman,Bruce Oxenford,Royal Challengers Bangalore Won by 14 Runs (Qualified),https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/LSG.png,2.0,207/4 (20.0 Overs),193/6 (20.0 Overs),19.0,Eliminator,Eliminator,,,72,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,528,T20 (N),24-05-2022,24-May-22,Gujarat Titans VS Rajasthan Royals,19:30,Night,14:00 GMT,18,Rajasthan Royals,35,Gujarat Titans,RR,GT,19,Eden Gardens,Gujarat Titans Won by 7  Wickets (Qualified),Gujarat Titans,Gujarat Titans won the Toss and elected to Field, won the Toss and elected to Field,188/6 (20.0 Ov),191/3 (19.3 Ov),2022-05-24T19:30:00,Kolkata,352,87,34,88,35,Gujarat Titans,18,Rajasthan Royals,Asia/Kolkata,24-May-22,23:30,71,Bruce Oxenford,Virender Kumar Sharma,Michael Gough,Gujarat Titans Won by 7  Wickets (Qualified),https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,2.0,188/6 (20.0 Overs),191/3 (19.3 Overs),35.0,Qualifier 1,Qualifier 1,,,71,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,525,T20 (N),22-05-2022,22-May-22,Sunrisers Hyderabad VS Punjab Kings,19:30,Night,14:00 GMT,20,Sunrisers Hyderabad,15,Punjab Kings,SRH,PBKS,21,Wankhede Stadium,Punjab Kings Won by 5  Wickets ,Sunrisers Hyderabad,Sunrisers Hyderabad won the Toss and elected to bat, won the Toss and elected to bat,157/8 (20.0 Ov),160/5 (15.1 Ov),2022-05-22T19:30:00,Mumbai,44,95,29,86,20,Sunrisers Hyderabad,15,Punjab Kings,Asia/Kolkata,22-May-22,23:30,70,Anil Chaudhary,Nikhil Patwardhan,Chris Gaffaney,Punjab Kings Won by 5  Wickets ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,2.0,157/8 (20.0 Overs),160/5 (15.1 Overs),15.0,Regular,70th  T20I,,,70,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,524,T20 (N),21-05-2022,21-May-22,Mumbai Indians VS Delhi Capitals,19:30,Night,14:00 GMT,14,Delhi Capitals,17,Mumbai Indians,DC,MI,21,Wankhede Stadium,Mumbai Indians Won by 5  Wickets ,Mumbai Indians,Mumbai Indians won the Toss and elected to Field, won the Toss and elected to Field,159/7 (20.0 Ov),160/5 (19.1 Ov),2022-05-21T19:30:00,Mumbai,42,363,472,86,17,Mumbai Indians,14,Delhi Capitals,Asia/Kolkata,21-May-22,23:30,69,Nitin Menon,Tapan Balwant Sharma,Saiyed Khalid,Mumbai Indians Won by 5  Wickets ,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,2.0,159/7 (20.0 Overs),160/5 (19.1 Overs),17.0,Regular,69th  T20I,,,69,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,523,T20 (N),20-05-2022,20-May-22,Rajasthan Royals VS Chennai Super Kings,19:30,Night,14:00 GMT,13,Chennai Super Kings,18,Rajasthan Royals,CSK,RR,68,Brabourne - CCI,Rajasthan Royals Won by 5  Wickets ,Chennai Super Kings,Chennai Super Kings won the Toss and elected to bat, won the Toss and elected to bat,150/6 (20.0 Ov),151/5 (19.4 Ov),2022-05-20T19:30:00,Mumbai,29,95,354,88,18,Rajasthan Royals,13,Chennai Super Kings,Asia/Kolkata,20-May-22,23:30,68,Chris Gaffaney,Nikhil Patwardhan,Yeshwant Barde,Rajasthan Royals Won by 5  Wickets ,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,2.0,150/6 (20.0 Overs),151/5 (19.4 Overs),18.0,Regular,68th  T20I,,,68,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,522,T20 (N),19-05-2022,19-May-22,Royal Challengers Bangalore VS Gujarat Titans,19:30,Night,14:00 GMT,35,Gujarat Titans,19,Royal Challengers Bangalore,GT,RCB,21,Wankhede Stadium,Royal Challengers Bangalore Won by 8  Wickets ,Gujarat Titans,Gujarat Titans won the Toss and elected to bat, won the Toss and elected to bat,168/5 (20.0 Ov),170/2 (18.4 Ov),2022-05-19T19:30:00,Mumbai,159,398,129,86,19,Royal Challengers Bangalore,35,Gujarat Titans,Asia/Kolkata,19-May-22,23:30,67,KN Ananthapadmanabhan,Sadashiv Iyer,Navdeep Singh,Royal Challengers Bangalore Won by 8  Wickets ,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/RCB.png,2.0,168/5 (20.0 Overs),170/2 (18.4 Overs),19.0,Regular,67th  T20I,,,67,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,521,T20 (N),18-05-2022,18-May-22,Kolkata Knight Riders VS Lucknow Super Giants,19:30,Night,14:00 GMT,77,Lucknow Super Giants,16,Kolkata Knight Riders,LSG,KKR,69,DY Patil Stadium,Lucknow Super Giants Won by 2 Runs ,Lucknow Super Giants,Lucknow Super Giants won the Toss and elected to bat, won the Toss and elected to bat,210/0 (20.0 Ov),208/8 (20.0 Ov),2022-05-18T19:30:00,NAVI MUMBAI,354,261,352,88,16,Kolkata Knight Riders,77,Lucknow Super Giants,Asia/Kolkata,18-May-22,23:30,66,Yeshwant Barde,Rohan Pandit,Bruce Oxenford,Lucknow Super Giants Won by 2 Runs ,https://scores.iplt20.com/ipl/teamlogos/LSG.png,https://scores.iplt20.com/ipl/teamlogos/KKR.png,2.0,210/0 (20.0 Overs),208/8 (20.0 Overs),77.0,Regular,66th  T20I,,,66,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
60,520,T20 (N),17-05-2022,17-May-22,Mumbai Indians VS Sunrisers Hyderabad,19:30,Night,14:00 GMT,20,Sunrisers Hyderabad,17,Mumbai Indians,SRH,MI,21,Wankhede Stadium,Sunrisers Hyderabad Won by 3  Runs ,Mumbai Indians,Mumbai Indians won the Toss and elected to Field, won the Toss and elected to Field,193/6 (20.0 Ov),190/7 (20.0 Ov),2022-05-17T19:30:00,Mumbai,29,63,129,86,17,Mumbai Indians,20,Sunrisers Hyderabad,Asia/Kolkata,17-May-22,23:30,65,Chris Gaffaney,Nitin Pandit,Navdeep Singh,Sunrisers Hyderabad Won by 3  Runs ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,2.0,193/6 (20.0 Overs),190/7 (20.0 Overs),20.0,Regular,65th  T20I,,,65,2022,#319490,#df7317,#319490,#df7317,20,IPL 2022,,,,,,,,,
